review,category,rating,tag
"প্রথমত , প্রডাক্ট এর থেকে সেলার খুবই ভালো।৷ গেঞ্জি ও ভালো। আমার একটা সমস্যা হয়েছিলো সেলার নিজে ফোন করে সলভ করে দিয়েছেন সাথে সাথে, যা খুবই ভালো লাগছে। সেলারের কথা ও কাজে মিল আছে।গেঞ্জি পছন্দ হবে আশা করি। আর যেহেতু সেলার ভালো, বিশ্বস্ত তাই সবাই নিশ্চিন্তে নিতে পারেন। সেলারকে ধন্যবাদ। 
সব শেষে বলতে চাই। সেলার, প্রডাক্ট, প্যাকেট, ডেলিভারি সব মনের মতন। আপনারা নিতে পারেন সেলার এর প্রেমে পড়ে যাবেন। ",Cloth,5,positive 
"বর্তমানে সবচেয়ে খারাপ অভিজ্ঞতা, গ্রাহকদের তাদের একচেটিয়া ব্যবসায়িক মডেল দিয়ে বাধ্য করা, ডেলিভারি চার্জের হাস্যকর পরিমাণ, ডেলিভারি ফি বাবদ অতিরিক্ত চার্জ। অবিলম্বে আনইনস্টল করা হচ্ছে।",Beauty,1,negative
"সত্যিই দুর্দান্ত, আমি গত ৪ বছর ধরে এটি থেকে প্রচুর পণ্য অর্ডার করছি, এখনও কোনও প্রাথমিক সমস্যার মুখোমুখি হইনি। তাদের পরিষেবা আমাদের দেশের অন্যান্য ই-কমার্স ওয়েবের তুলনায় ভাল। যদিও একমাত্র বিরক্তিকর বিষয় হল তারা ক্রমাগত বিজ্ঞপ্তি বা প্রচার পাঠায় এবং নতুন পণ্য কেনার জন্য লোকেদের প্ররোচিত করার চেষ্টা করে। কিন্তু এটা ব্যবসা কৌশল তাই এটা ঠিক আছে. এবং অন্য সমস্যাটির জন্য, যদিও এটি দারাজের দোষ নয় কিন্তু অনেক পণ্যই বাণিজ্যিকভাবে দেখানোর তুলনায় অনেক নিম্নমানের। তবে অনেকগুলি ডিল যুক্তিসঙ্গত এবং একই বিরল জিনিসগুলিও পাওয়া যায়। কিন্তু তারা সত্যিই প্রত্যাবর্তন প্রক্রিয়া বিকাশ করা উচিত.",Beauty,5,positive 
"খারাপ অভিজ্ঞতা. আমি আমার প্রত্যাশা পণ্য নেই. এছাড়াও, আমি অনেক সমস্যার সম্মুখীন হচ্ছি। আমি মনে করি তারা অবশ্যই এটির দিকে মনোনিবেশ করবে।",Beauty,2,negative
"সত্যি বলতে, আপনি এখানে প্রায় সব স্থানীয় এবং এবং কিছু বিদেশী কোম্পানিকে ""জঘন্য গ্রাহক পরিষেবা"" প্রদানকারীদের মধ্যে গণনা করতে পারেন। এটি কেবল এই কারণে যে গ্রাহকের অধিকার রক্ষা করার জন্য কোনও স্পষ্ট আইন নেই, কোনও প্রয়োগ বা স্বীকৃতি নেই৷ যদি তারা আপনাকে ছিঁড়ে ফেলতে পারে তবে তারা করবে। যদি তারা না পারে, তারা চেষ্টা করে মারা যাবে। এটাই আপনাদের জন্য ডিজিটাল বাংলাদেশ।",Beauty,1,neutral
দারাজ বাংলাদেশ বর্তমানে বাংলাদেশের ইকমার্সে নেতৃত্ব দিচ্ছে। বাংলাদেশে ই-কমার্স সেক্টরে কোন প্রতিযোগিতা না থাকায় তারা তাদের ডেলিভারি ফি এবং সমস্ত পণ্যের ফি বাড়িয়েছে। তারা সারা বছর ধরে বিভিন্ন প্রতিযোগিতা তৈরি করে। কিন্তু এসব প্রচারণার কোনোটিই সুষ্ঠুভাবে পরিলক্ষিত হয় না। দারাজ বাংলাদেশকে পরিষ্কারভাবে বেরিয়ে আসতে হবে এবং ডেলিভারি চার্জ এবং পণ্যের মূল্য বৃদ্ধি বন্ধ করতে হবে। অন্যায় সুবিধা নেওয়া বন্ধ করুন।,Beauty,3,negative
আমি দারাজ থেকে একটি ট্যাবলেট কিনলাম কিন্তু বিক্রেতা আমাকে ত্রুটিপূর্ণ পণ্য পাঠিয়েছে তাই আমি রিটার্ন নীতি অনুযায়ী 15 দিনের মধ্যে ফিরে এসেছি কিন্তু তারা ফেরত দিতে অস্বীকার করেছে এবং ওয়ারেন্টি দাবি করতে আমাকে সরাসরি বিক্রেতার সাথে যোগাযোগ করতে বলেছে। অনেক গ্রাহক ট্যাবলেটে একই ত্রুটি উল্লেখ করেছেন তাই আমি বিক্রেতাকে বিশ্বাস করতে পারিনি। যদিও দারাজ আইডি আমার বিনিময়ের ব্যবস্থা করতেও রাজি নয়,Electronics,1,negative
"আমি প্রায় 100টি আইটেম কিনেছি, কিন্তু আমি যে 99টি আইটেম পেয়েছি তা হয় জাল, ভুল, নিম্নমানের, অ-কার্যকর বা সম্পূর্ণ ভাঙ্গা।",Electronics,1,negative
আমি একটি ফোন অর্ডার দিয়েছিলাম এটি একটি খেলনার মতো ছিল যা প্রকৃতপক্ষে চিহ্ন পর্যন্ত নয়। গুণগত ভিত্তিতে তারা রিটার্ন গ্রহণ করেনি। অনলাইন ওয়েবসাইটে গুণমান পর্যালোচনা করা যাবে না এবং শুধুমাত্র শারীরিক পরিদর্শন দ্বারা নিশ্চিত করা যেতে পারে। ফোন ভয়ঙ্কর ছিল.,Electronics,1,negative
"সবেমাত্র দারাজ গ্রাহক পরিষেবা নিয়ে সবচেয়ে অপ্রীতিকর অভিজ্ঞতা পেয়েছি, চারজন এজেন্ট এবং একজন সুপারভাইজারের সাথে কথা বলার পর আমার সমস্যাটি সমাধান হওয়ার কাছাকাছি নেই এবং এখন আমি পুরোপুরি নিশ্চিত যে দারাজ সেখানে নিম্নমানের উন্নতির জন্য কোনো অর্থ বা প্রচেষ্টা বিনিয়োগ করেনি গ্রাহক সেবা.",Electronics,1,negative
"খুব খারাপ ডেলিভারি সিস্টেম তাদের আজকাল, বিশেষ করে ই-কুরিয়ার বিডি। কয়েকদিন আগে আমি দারাজ থেকে একটি পণ্যের অর্ডার দিয়েছিলাম, আমার পণ্য ডেলিভারি ছাড়াই তারা আমাকে বলেছিল যে আমার পণ্য সরবরাহ করা হয়েছে",Electronics,1,negative
"কিছু নিত্যপ্রয়োজনীয় জিনিসের অর্ডার দিয়েছি, ৭ দিন আগেও আইটেমের কোনো চিহ্ন নেই। আমার বাড়ির নীচের দোকান থেকে আমি যে মুদি কিনতে পারি, আমি শুধু লকডাউন বজায় রাখতে চেয়েছিলাম, কিন্তু মজার বিষয় হল - প্রায় 20টি আইটেমের এক অর্ডারের জন্য তারা 4টি ডেলিভারি পাঠিয়েছে - (আরে অপেক্ষা করুন এখনও আসছে!!! আরও); আমি লোকেদের এড়াতে চেয়েছিলাম - কিনতে আমাকে ইতিমধ্যে 4টি ভিন্ন কুরিয়ার লোকের মুখোমুখি হতে হয়েছিল। এটি একটি মোট জোক ইকমার্স সাইট।",Electronics,1,negative
"দারাজ এটি বিক্রেতাকে পাত্তা দেয় না, শুধুমাত্র তারা কতটা উপার্জন করতে পারে তা নিয়ে চিন্তা করে, দারাজ আমার 22টি পণ্য লক করেছে এখন আমার কাছে 20k মূল্যের স্টিক আছে এবং সেগুলি বিক্রি করার কোথাও নেই, আমি একজন ছাত্র এবং আমি দারাজে বিক্রি শুরু করেছি এবং আমার পুরো সঞ্চয় স্টক কেনার জন্য ব্যয় করেছি",Electronics,2,negative
"যেহেতু আমি চার সপ্তাহ আগে দারাজ থেকে একটি ডিপ ফ্রিজার কিনেছি এবং এটি ছিল দারাজে আমার প্রথম অভিজ্ঞতা, প্রোডাক্টটি কোনো ত্রুটি ও ত্রুটিমুক্ত ছিল",Electronics,5,positive 
"দারাজ ঠিক যা ক্রেতাদের ইকমার্স স্টোর থেকে দূরে সরিয়ে দেয়। তাদের অযোগ্যতা কিংবদন্তি! এটা আশ্চর্যজনক যে এত বড় ইকমার্স প্ল্যাটফর্ম কীভাবে তাদের ক্রেতাদের মতো কেলেঙ্কারী করতে পারে। বেশিরভাগ সময় পণ্যটি দেরিতে বিতরণ করা হবে, বা সম্পূর্ণ ভুল পণ্যটি সরবরাহ করা হবে। আর তখনই শুরু হয় ফেরার যন্ত্রণা। আপনার পণ্য সঠিকভাবে ফিরে পেতে সৌভাগ্য!",Electronics,1,negative
তাদের মূর্খ নীতি রয়েছে যা বিক্রেতাদের খাদ করে দেয়। শুধুমাত্র তাদের COD সিস্টেমের কারণে অনেক ডেলিভারি ব্যর্থ হয়। এটি অকেজো কারণ বিক্রেতারা এর জন্য বিভিন্ন সমস্যার সম্মুখীন হন। তাদের ব্যবস্থাপনা ব্যবস্থা দুর্বল এবং গ্রাহক পরিষেবাগুলি প্রায়শই ভয়ঙ্কর বলে মনে হয়।,Electronics,1,negative
"এত বাজে সর্ভিস, কোন সিস্টেম নাইমআজ। ডেলিভার দিতে ১০-১৫ দিন। আর কিছু না। এটা সিস্টেম এর সমস্যা। সবথেকে বাজে সিস্টেম",Electronics,1,negative
আলহামদুলিল্লাহ। ধন্যবাদ সেলার ভাইকে এত ভালো পণ্য আমাদের দেয়ার জন্য। খুব ভালো মানের কাপড় আপনারা চাইলে আপনারা কিনতে পারেন।,Cloth,5,positive 
পণ্যের গুণমান ভাল এবং বিক্রেতা সঠিক আকার প্রদান করেছেন। ধন্যবাদ.,Cloth,5,positive 
"জা আশা করেছি তার থেকেও ভালো টি সার্ট গুলো, ফ্রেবিক্স কোয়ালিটি ও যতেষ্ঠ ভালো",Cloth,5,positive 
"যেমন টা চেয়েছি তেমনই। কালার, সাইজ সব ঠিক ছিল।
ডেলিভারিও খুব তাড়াতাড়ি হয়েছে",Cloth,5,positive 
খুব ভালো ধন্যবাদ দারাজ এবং সেলার কে 🥰,Cloth,5,positive 
চমৎকার পণ্য। পণ্যের মান খুব ভালো👍 আমি 🙋 এই পণ্যটি পছন্দ করি,Cloth,5,positive 
সবকিছুই ঠিকঠাক. তবে কোলার এর পেছনের সেলাইটা আরেকটু ভালো ফিনিশিং হতে পারতো. এটা কেমন জানি দেখায়. বাদ বাকি ঠিক ছিলো.,Cloth,3,neutral
"খুব ভালো টি-শার্ট গলা,তবে দাম তা আর একটু কম হলে ভালো হতো,তা ছাড়া পিকচার যা দেখানো মতোই প্রোডাক্ট পাইছি। আপনারা নিতে পারেন পরেও কমফোর্টেবল",Cloth,5,positive 
আলহামদুলিল্লাহ প্রডাক্ট দুইটা পেয়েছি খুবই ভালো লেগেছে কাপড় গুলো খুব ভালো নিঃসন্দেহে সবাই নিতে পারেন সেলার ভাইয় খুব ভালো ডেলিভারি মেন খুব ভালো পেতে একটু সময় লেগেছে তারপরও কাপড় গুলো ভালো পেয়েছি,Cloth,5,positive 
দ্বিতীয় বার নিয়েছি । রিভিউ করার কিছু নেই। প্রথমটা ভালো লেগেছিলো। তাই ২য় বার নিলাম। ধন্যবাদ সেলারকে। ,Cloth,5,positive 
"প্রাইজ অনুযায়ী কাপড়ে কোয়ালিটি খুবই ভালো। যে কাউকে রেকোমেন্ড করার মতোই। ধন্যবাদ সেলারকে ❤️
যে কেউ চোখ বন্ধ করে নিতে পারেন। ",Cloth,5,positive 
খুবই আরামদায়ক এবং কমফোর্টেবল প্রোডাক্ট যেমনটা দেখছি তেমনটাই পাইছি যা সাইজ দিয়েছিলাম তাই পেয়েছি কালার কম্বিনেশন একদম ঠিক আছে,Cloth,5,positive 
আমার প্রথম অর্ডার যেমন চেয়েছি তেমন পেয়েছি seller  ভাই খুব ভালো আমি খুব খুশি আলহামদুলিল্লাহ ❤️💞💓,Cloth,5,positive 
এটা খুব ভালো পণ্য।  এর কথা কাজে মিল আছে। সবাই নিতে পারেন! আবার আবার ট্রাউজার অর্ডার করেছি।,Cloth,5,positive 
"দামে, মান সেরা!👍",Cloth,5,positive 
"ছবির কালার বাস্তবের কালার অনেকটাই ব্যবধান,,, রংয়ের ব্যাপারে ব্যবহারের পরেই নিশ্চিত হব",Cloth,2,neutral
এককথায় অসাধারণ। প্রিমিয়াম কোয়ালিটি। ,Cloth,5,positive 
"আলহামদুলিল্লাহ🥰❤️❤️...
টি-শার্টগুলো খুব ভালো এবং উন্নতমানের❤️",Cloth,5,positive 
ধন্যবাদ দারাজ কে এত কম বাজেটে  ভালো  পন্য দেওয়ার জন্য। ,Cloth,5,positive 
জেমন ভাব ছিলাম তার থেকে  ভালো  কিন্তু গলা টা একটু টাইট,Cloth,4,positive 
খুবু বাজে সেলার,Home Decor,1,negative
ঘড়ির সময় ঠিকমত কাজ করেনা। অনেকবার সেট করার পরও কাজ করেনা,Home Decor,1,negative
খুব নিম্ন মানের পণ্য। ছবির মতো বড় নয়। সর্বোচ্চ মূল্য 100 এর বেশি নয়। দয়া করে এটি কিনবেন না। সম্পূর্ণ অর্থের অপচয়।,Home Decor,1,negative
কোয়ালিটি এভারেজ…কিছু অংশ ভেঙ্গে গেছে 😡….,Home Decor,1,negative
প্যাকেজে প্রডাক্ট নেই!,Home Decor,1,negative
এত ছোট কেন ভাই। দেখালেন বর কিন্তু দিলেন ছোট,Home Decor,1,negative
যেই ছবি দিয়েছেন সেই ছবির প্রডাক্ট দেননি। ,Home Decor,1,negative
তারা আমাকে সম্পূর্ণ ভিন্ন পণ্য পাঠিয়েছে...পার্সেল ফেরত দিয়েছি,Home Decor,1,negative
অনেক ছোট ,Home Decor,1,negative
ফালতু প্রডাক্ট,Home Decor,1,negative
বাজে,Home Decor,1,negative
"প্রোডাক্ট ভালো ছিলো। এছাড়া ছবিতে যত মোটা ও অনেক বড় দেখা যায় আসলে ঘড়ির কাটা গুলো এত বড় ও thick না। প্রোডাক্ট রেশিও ১৩ ইঞ্চি X ১৩ ইঞ্চি, যা এই প্রোডাক্ট এর ছবির তুলনায় অনেক অনেক ছোট। সেলার অনেক দ্রুত প্রোডাক্ট ডেলিভারী দিয়েছে , যার কারণে মনে হয় এই সেলার থেকে প্রোডাক্ট আনা যাবে অনেক তাড়াতাড়ি। সব কিছু ঠিক ছিল এখন দেখা যাক কতদিন টিকে। শুভ কামনা। 🙂",Home Decor,5,positive 
দাম অনুযায়ী খুবই সুন্দর একটি প্রোডাক্ট। ফিনিশিংও বেশ ভালোই। ডিজিট গুলো গ্লসি টাইপ হওয়ায় দেখতে দারুন লাগে। তবে গড়ির কাটা গুলো আরেকটু ভালো মানের হওয়া উচিত ছিলো। ,Home Decor,5,positive 
যতটা না সিম্পল ঠিক ততটাই গর্জিয়াস ❤️‍🔥 সবচেয়ে ভালো লেগেছে আমি আমার নিজের ইচ্ছা মতো কাটা গুলো ঠিক করে বসাতে পারবো যেটাই পেপারটা খুব সাহায্য করে। খুব ভালো লেগেছে 😘,Home Decor,5,positive 
পণ্যের মান ভালো। ডেলিভারির সময় একটু দেরি হয়েছে। প্যাকেজিং খারাপ ছিল😒। আমি পণ্যটি নিয়ে খুশি। প্রস্তাবিত ✌️❤️,Home Decor,5,positive 
খুবই ভালো মানের করি আপনারা নিতে পারেন,Home Decor,5,positive 
"ঘড়িটি যেমন চেয়েছিলাম ঠিক তেমনটিই পেয়েছি, ঘড়িটি দেখতে যেমন সুন্দর তেমন আকর্ষণীয় , এক কথায় বলতে হবে অসাধারণ, আর প্যাকেজিং অনেক ভালো ছিল, আপনারা চাইলে এখান থেকে নিতে পারেন ।",Home Decor,5,positive 
"দুইটা অর্ডার করেছিলাম ২০-২৫ দিন সময় লাগসে হাতে পেতে, লাগাতে হালকা কসরত করতে হয় কিন্তু সবশেষে দেখতে চমৎকার লাগে ❤️",Home Decor,5,positive 
"দাম অনুযায়ী প্রোডাক্ট কোয়ালিটি ভালো ছিল ,আলহামদুলিল্লাহ🥀🖤
  আপনারা চাইলে নিতে পারেন 🥀🥀",Home Decor,5,positive 
সত্যি বলতে আমি ভেবেছিলাম এটা যথেষ্ট বড়। কিন্তু বাস্তবে এটি একটি সাধারণ ঘড়ি। কিন্তু দেখতে বেশ সুন্দর,Home Decor,5,negative
অস্থির একটা জিনিস। ফিটিং করার সময় নিজেকে ইঞ্জিনিয়ার মনে হয়। অনেক ক্রিয়েটিভ প্রডাক্ট। দ্রুত ডেলিভারি দেয়ার জন্য ধন্যবাদ। ,Home Decor,5,positive 
আসলামুআলাইকুম আপনাদের প্রোডাক্টটি খুবই ভালো ছিল টাইম এর আগে ডেলিভারি পেয়েছি খুবই ভাল একটি প্রোডাক্ট আপনারা কেউ চাইলে কিনতে পারেন ,Home Decor,5,positive 
"ফ্রি ডেলিভারিতে ডিস্কাউন্ট প্রাইসে ১৯৫ টাকা দিয়ে নিয়েছি। সেই হিসেবে প্রোডাক্ট ভালো ছিলো, জদিও পিকের মতোন বড়ো না। কিন্তু ভালো আর সুন্দর দেখতে। ",Home Decor,5,positive 
"আমি দুটি কিনেছি এবং তারা উভয়ই বেশ সুন্দর আসলে এটি পৌঁছাতে প্রায় 20 দিন সময় লাগে, যা আমি জানতাম না
কিন্তু এই সাশ্রয়ী মূল্যের এবং ভাল",Home Decor,5,positive 
আলহামদুলিল্লাহ ভালো। কিন্তু ডেলিভারি চার্জটা কম হলে ভালো হতো,Home Decor,5,positive 
প্যাকেটিং টা খুবই ভালো ছিল। দেখতে একদম একইরকম। পছন্দ হয়েছে। ,Home Decor,5,positive 
মিনিমাম ১.৫ মাস পর পাইসি। এমনে ঠিক আছে। কিন্তু অনেক ছোট। ,Home Decor,5,neutral
ভাল পণ্য. এটা একটা বড় ঘড়ি! এত সুন্দর। পছন্দ হয়েছে,Home Decor,5,positive 
"আলহামদুলিল্লাহ, এই দাম এ এটা অসাধারণ প্রডাক্ট। সেলারকে ধন্যবাদ",Home Decor,5,positive 
দাম অনুযায়ী ভালো মানের। দেখতে সুন্দর,Home Decor,5,positive 
সুন্দর পছন্দ হয়েছে,Home Decor,5,positive 
ভালো প্রডাক্ট। পছন্দ হয়েছে,Home Decor,5,positive 
চমৎকার পণ্য. সাজানোর জন্য এবং আপনার ঘরকে একটি নতুন চেহারা দেওয়ার জন্য এটি ঠিক কাজ করে। দ্রুত ডেলিভারি,Home Decor,5,positive 
দাম অনেক ভালো,Home Decor,5,positive 
দাম হিসাবে ভালোই ,Home Decor,5,positive 
"সুন্দর ঘড়ি, সন্তুষ্ট, দারাজ ও বিক্রেতাদের ধন্যবাদ।",Home Decor,5,positive 
"অনেক ভালো ছিল জিনিসটা তবে অডার দেওয়া ১ মাস পর পেয়েছি হাতে , নিতে পারেন সবাই",Home Decor,5,positive 
অল্প টাকাই খুবই সুন্দর একটি ঘড়ি Joss হইছে,Home Decor,5,positive 
তাই সুন্দর কিন্তু আকারে বড় আশা করেছিলাম,Home Decor,5,positive 
ভালোভাবে দুই মাস ব্যবহার করেছি,Home Decor,5,positive 
চমৎকার পণ্য বিক্রেতা ধন্যবাদ,Home Decor,5,positive 
আপনারাও নিতে পারেন। ভালো প্রডাক্ট,Home Decor,5,positive 
কিছু অংশ ভাঙ্গা ছিল,Home Decor,5,negative
এই দামের মধ্যে অবশ্যই একটি ভাল পণ্য।,Home Decor,5,positive 
দেখতে সুন্দর না,Home Decor,5,negative
খুব ভাল প্রডাক্ট,Home Decor,5,positive 
চমৎকার পণ্য। বিক্রেতা আনাদ দারাজকে ধন্যবাদ।,Home Decor,5,positive 
যেমন চেয়েছিলাম ঠিক তেমন পেয়েছি,Home Decor,5,positive 
কোয়ালিটি ভালো,Home Decor,5,positive 
ভালো প্রডাক্ট। ছবির টাই দিয়েছে,Home Decor,5,positive 
খুবু বাজে সেলার,Home Decor,2,negative
দাম বেশি কিন্তু প্রডাক্ট ভালো,Home Decor,3,neutral
অনেক ছোট সাইজ,Home Decor,3,negative
বাজে অভিজ্ঞতা,Home Decor,3,negative
পছন্দ হয়নি,Home Decor,3,negative
অনেক বাজে,Home Decor,3,negative
ভাঙ্গা ছিল,Home Decor,3,negative
বাজে ছিল,Home Decor,3,negative
কেউ নিবেন না,Home Decor,3,negative
মোটামুটি ভালো সাইজও আমার রুমের হিসেবে ঠিক আছে চাইলে নিতে পারেন কিন্তু লাগাতে একটু ঝামেলা হয় 😅,Home Decor,4,neutral
দাম অনুযায়ী প্রডাক্ট আর পেকেজিং ভাল,Home Decor,4,positive 
"খারাপ না,ভালোই বলা চলে তবে ঘড়ির কাঁটা গুলা ঘোলা ও কেমন যেন ফেকাশে দেখাচ্ছিল। ছবিতে পরিষ্কার দেখা যাচ্ছে। পরে মুছে নিতে হইছে। তবে দাম আরও কম হতে পারতো।",Home Decor,4,neutral
আলহামদুলিল্লাহ জিনিস ভালো দিছে কিন্তু সমস্যা হইতেছে আমার vivo y2o  লওয়া যায় না এই। আপনার চাইলে নিতে পারেন। ,Home Decor,4,positive 
চমৎকার পণ্য. ভাল পণ্য ডেলিভারির জন্য ধন্যবাদ সেলার,Home Decor,4,positive 
ভালো প্রোডাক্ট কিন্তু ঘন্টা/মিনিটের হাতগুলো একটু বেশি পাতলা এবং ছোট তাই এটি আসলে তেমন সুন্দরভাবে দেখায় না,Home Decor,4,positive 
যেটা অর্ডার দিয়েছি সেটা পাইনি,Home Decor,4,positive 
নকল ছবি দেয়া,Home Decor,4,positive 
ভাল প্রডাক্ট,Home Decor,4,positive 
খুবই ভালো একটা প্রডাক্ট নিতে পারেন,Home Decor,5,positive 
খুবি ভালো অনেক ভালো ধন্যবাদ দারাজ ,Home Decor,5,positive 
এই দামে ভালো,Home Decor,5,positive 
ঘড়িটা আসলেই খুব ভালো ,Home Decor,5,positive 
ধন্যবাদ ,Home Decor,5,positive 
ভালো ছিল। সবাই নিতে পারেন,Home Decor,5,positive 
দাম হিসেবে ভাল,Home Decor,5,positive 
ভাল। সবাই নিতে পারেন,Home Decor,5,positive 
মাশাআল্লাহ ভালো পণ্য,Home Decor,5,positive 
আলহামদুলিল্লাহ অনেক ভাল,Home Decor,5,positive 
ভালো কোয়ালিটি💥,Home Decor,5,positive 
খুব সুন্দর,Home Decor,5,positive 
ভালো প্রডাক্ট,Home Decor,5,positive 
ভালো,Home Decor,5,positive 
পছন্দ হয়েছে,Home Decor,5,positive 
সুন্দর ঘড়ি,Home Decor,5,positive 
সুন্দর,Home Decor,5,positive 
ভালো,Home Decor,5,positive 
এতো ছোট্ট ,Home Decor,5,neutral
খুব ভালো,Home Decor,5,positive 
ভালা আছে,Home Decor,5,positive 
দারুন,Home Decor,5,positive 
এটি পৌঁছাতে 20 দিনের বেশি সময় লাগে!!কিন্তু এই মূল্যে এটি ভাল এবং আমি সন্তুষ্ট,Home Decor,5,neutral
প্রোডাক্টটা খুবই সুন্দর।। অনেকদিন হলো ব্যবহার করতেছি ভালো লাগতেছে।। আপনারা কিনতে পারেন।।।,Home Decor,5,positive 
দাম হিসেবে একদম বাজে। অনেক ছোট। ডেলিভারি অনেক স্লো। আমার মোটেও ভালো লাগে নাই।😑,Home Decor,5,positive 
"দাম অনুযায় প্রোডাক্ট ঠিক আছে 
ঘড়িটা ঠিক করে নিতে হয় ",Home Decor,5,positive 
কোয়ালিটি একটুও ভাল না। সেলাইর সুতা উঠে যায়। ২টা তে XL লিখা থাকলেও ২টার সাইজ ভিন্ন। একটা খুবই ছোট।,Cloth,1,negative
"অর্ডার করলাম এল, দিলেন এক্সেল, এইসব কি",Cloth,1,negative
ভালোই প্রোডাক্ট।  কিন্তু দাম হিসবে নগন্ন।🥲,Cloth,1,neutral
মোটামুটি। তেমন ভালো না,Cloth,1,neutral
ব্যবসা করলে সৎ ভাবে করবেন। কিন্তু গেঞ্জি একদম মাজখানে ছেরা।,Cloth,2,negative
কোয়ালিটি একটুও ভাল না। সেলাইর সুতা উঠে যায়। সাইজ ভিন্ন। একটা খুবই ছোট।,Cloth,2,negative
এইসব কি,Cloth,2,negative
কাপরের মান মোটামুটি সেলাইয়েরও তেমন ফিনিশিং  নাই আর কাপরের মান অনুযায়ী দাম টা একটু বেশি মনে হচ্ছে ,Cloth,3,neutral
সবকিছুই ঠিকঠাক. তবে কোলার এর পেছনের সেলাইটা আরেকটু ভালো ফিনিশিং হতে পারতো. ইটা কেমন জানি দেখায়. বাদ বাকি ঠিক ছিলো.,Cloth,3,negative
আমার যেমন ওর্ডার ছিল তেমই প্রোডাক্ট পেয়েছি। আপনারা নিতে পারেন এই প্রাইজে মোটামুটি ভালোই হইছে।,Cloth,3,negative
ভাল মানের এবং ভাল প্যাকিং। আমি এই মূল্যে সন্তুষ্ট 306TK 50% ডিসকাউন্ট ভাউচার এবং 50% ফ্রি ডেলিভারি ভাউচার ব্যবহার করেছি,Cloth,4,positive 
অনেক ভালো লাগছে ভাই,Cloth,4,positive 
"দাম হিসেবে একদম ঠিক আছে। কাপড় নরম। কিন্তু দুইটার কাপড় একটু আলাদা মনে হচ্ছে। সামান্য, কিন্তু আছে",Cloth,4,positive 
পণ্য ভাল. আমাকে সঠিক পণ্য দেওয়ার জন্য বিক্রেতা এবং দারাজকে ধন্যবাদ।,Cloth,4,positive 
